Ward name,Old code,New code,Population - 2015,Children aged 0-15 - 2015,% All Children aged 0-15 - 2015,Area - Square Kilometres,Population density (persons per sq km) - 2013,% children in reception year who are obese - 2011/12 to 2013/14,% children in year 6 who are obese- 2011/12 to 2013/14,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (? - 2014,Number of properties sold - 2014,Median Household income estimate (2012/13),Number of Household spaces - 2011,% detached houses - 2011,% semi-detached houses - 2011,% terraced houses - 2011,"% Flat, maisonette or apartment - 2011",% Households Owned - 2011,% Households Social Rented - 2011,% Households Private Rented - 2011,% dwellings in council tax bands A or B - 2015,"% dwellings in council tax bands C, D or E - 2015","% dwellings in council tax bands F, G or H - 2015",Claimant rate of key out-of-work benefits (working age client group) (2014),Claimant Rate of Housing Benefit (2015),Claimant Rate of Employment Support Allowance - 2014,Rate of JobSeekers Allowance (JSA) Claimants - 2015,% dependent children (0-18) in out-of-work households - 2014,% of households with no adults in employment with dependent children - 2011,% of lone parents not in employment - 2011,(ID2010) - Rank of average score (within London) - 2010,(ID2010) % of LSOAs in worst 50% nationally - 2010,Average GCSE capped point scores - 2014,Unauthorised Absence in All Schools (%) - 2013,% with no qualifications - 2011,Crime rate - 2014/15,% area that is open space - 2014,Cars per household - 2011
Barking and Dagenham - Longbridge,00ABGG,E05000035,11900,2600,21.7,1.6,7281.3,11.4,24.9,4894,65.2,312750.0,120,40570.0,3788,3.9,23.1,50.4,22.5,70.0,13.1,15.3,12.2,80.3,7.5,11.1,7.3,3.1,2.3,10.6,4.9,44.5,375.0,66.7,337.8,0.8,22.7,57.0,28.3,1.1
Barking and Dagenham - Mayesbrook,00ABGH,E05000036,10550,2850,26.9,1.9,5473.7,12.6,24.3,3978,61.9,212000.0,95,31530.0,3987,4.8,21.8,58.0,15.5,43.8,38.6,15.6,12.4,87.6,0.0,19.4,18.2,6.7,3.6,22.4,11.0,54.2,105.0,100.0,305.4,1.3,32.1,67.9,44.8,0.8
Barking and Dagenham - Parsloes,00ABGJ,E05000037,10050,2550,25.2,1.2,8250.0,14.8,26.5,3785,61.5,213000.0,115,31860.0,3844,4.1,19.8,63.4,12.6,47.2,36.4,14.1,13.1,86.9,0.0,19.5,17.1,6.4,4.1,23.3,11.8,58.4,129.0,100.0,312.2,1.2,31.8,56.8,17.4,0.8
Barking and Dagenham - River,00ABGK,E05000038,11950,3150,26.5,3.6,3166.7,17.2,30.2,4420,64.2,205500.0,132,33490.0,4097,4.7,19.0,61.9,14.3,51.9,25.7,20.6,10.7,89.3,0.0,16.7,14.6,5.3,3.4,21.8,10.2,51.2,174.0,100.0,300.2,1.3,29.9,85.0,20.5,0.8
Barking and Dagenham - Thames,00ABGL,E05000039,18950,6150,32.5,7.9,1867.1,15.6,27.0,4081,60.5,219000.0,174,32580.0,4013,3.7,15.7,35.3,45.2,35.4,44.4,17.5,29.5,70.5,0.0,18.7,17.0,4.1,4.0,20.8,12.9,57.3,83.0,100.0,307.0,1.2,24.1,95.6,43.8,0.7
Barking and Dagenham - Valence,00ABGM,E05000040,10250,2600,25.5,1.3,7692.3,12.2,24.6,3873,63.1,215000.0,94,33200.0,3917,4.3,21.5,60.9,13.3,47.3,37.4,13.8,12.1,87.9,0.0,21.5,19.1,7.3,2.5,22.8,10.1,49.8,123.0,100.0,303.0,1.6,32.1,68.3,11.8,0.8
Barking and Dagenham - Village,00ABGN,E05000041,11050,2750,24.8,2.1,5166.7,12.9,27.9,4242,61.7,202500.0,120,31960.0,4508,4.6,20.3,26.2,48.9,40.3,39.9,17.4,50.9,49.1,0.0,19.1,18.6,2.6,4.0,25.2,10.6,53.8,84.0,100.0,301.6,1.5,30.3,90.8,47.0,0.8
Barking and Dagenham - Whalebone,00ABGP,E05000042,11150,2650,23.7,1.6,6781.3,12.8,22.8,4617,67.5,235000.0,144,37180.0,4091,4.1,18.4,49.7,27.8,63.7,12.3,22.3,23.4,76.4,0.2,12.7,10.6,4.1,2.6,14.9,7.6,47.3,290.0,100.0,310.8,1.1,24.0,72.4,16.0,1.0
Barnet - Brunswick Park,00ACFX,E05000043,17550,3400,19.5,3.2,5218.8,10.8,16.5,7603,71.4,435000.0,193,39800.0,6186,6.0,47.6,27.7,18.8,75.4,9.0,13.2,2.8,74.3,23.0,8.7,6.3,4.4,1.7,9.4,4.3,43.6,507.0,20.0,339.3,0.8,17.4,49.4,28.0,1.3
Barnet - Burnt Oak,00ACFY,E05000044,19650,4750,24.3,2.1,8857.1,11.9,25.3,7674,63.7,250000.0,153,29400.0,6511,3.8,19.8,38.3,38.1,38.0,35.5,22.1,10.3,88.4,1.3,14.9,18.0,5.5,2.7,19.1,9.8,48.0,261.0,100.0,313.5,1.2,23.6,68.5,18.9,0.8
Barnet - Childs Hill,00ACFZ,E05000045,21100,4100,19.5,3.1,6516.1,12.2,16.9,9309,67.9,507500.0,230,38960.0,8045,9.3,24.5,10.2,56.0,45.0,12.5,39.7,16.8,52.1,31.1,12.0,13.8,4.9,2.7,13.6,5.5,50.6,415.0,50.0,335.7,1.1,13.7,90.5,15.1,0.8
Barnet - Colindale,00ACGA,E05000046,26600,6100,22.8,2.6,8250.0,12.6,26.0,7344,61.9,302500.0,413,30170.0,6460,2.6,20.8,16.7,60.0,36.3,34.3,26.0,16.7,81.0,2.2,14.0,17.6,3.6,3.1,18.9,8.5,49.1,252.0,77.8,307.7,1.3,18.0,58.9,19.8,0.8
Barnet - Coppetts,00ACGB,E05000047,18050,3500,19.5,2.7,6425.9,10.0,19.5,8630,71.5,335000.0,258,38090.0,7136,4.6,22.1,20.3,53.0,56.8,13.4,26.7,9.4,70.6,20.0,10.8,10.3,4.1,2.1,13.5,5.9,49.3,429.0,40.0,343.5,0.9,15.0,75.6,40.3,1.0
Barnet - East Barnet,00ACGC,E05000048,17100,3550,20.6,3.8,4302.6,11.3,22.2,7566,71.5,368000.0,252,39870.0,6639,10.1,37.2,17.8,34.8,67.9,9.8,20.3,4.9,74.2,20.9,9.4,9.1,3.7,1.9,11.8,5.2,43.0,522.0,30.0,337.4,0.6,17.1,44.0,34.8,1.2
Barnet - East Finchley,00ACGD,E05000049,16850,3250,19.2,2.5,6440.0,7.9,17.3,8153,74.9,437500.0,172,41160.0,6805,2.9,14.4,25.7,56.9,50.2,22.2,25.5,9.3,73.1,17.7,10.3,10.6,3.6,1.6,12.1,4.2,46.9,389.0,30.0,350.1,0.8,14.1,47.5,37.8,0.8
Barnet - Edgware,00ACGE,E05000050,17600,4050,22.9,5.6,3017.9,10.9,17.1,7259,69.0,455000.0,277,38410.0,6167,19.0,37.0,7.2,36.7,60.4,15.8,20.9,5.5,54.1,40.3,9.3,10.3,3.4,1.6,8.6,5.6,45.8,439.0,30.0,326.7,1.0,17.0,71.4,54.0,1.2
Barnet - Finchley Church End,00ACGF,E05000051,16800,3200,19.0,2.7,5925.9,6.6,11.6,7386,72.6,528000.0,244,45030.0,6508,13.7,26.0,5.2,55.2,62.3,4.9,30.4,7.6,46.8,45.6,7.3,6.8,2.3,1.6,5.1,2.8,40.8,533.0,11.1,360.7,0.8,12.3,52.0,13.7,1.2
Barnet - Garden Suburb,00ACGG,E05000052,16950,3450,20.3,4.7,3436.2,6.3,12.5,7373,73.1,825000.0,263,53090.0,6602,18.4,30.1,12.8,38.8,66.1,4.9,26.7,4.4,34.1,61.5,4.9,5.3,1.4,1.1,3.8,2.4,41.8,587.0,0.0,368.5,0.7,8.2,65.1,24.2,1.2
Barnet - Golders Green,00ACGH,E05000053,24950,6400,25.6,3.0,7150.0,8.7,16.4,7635,66.7,555250.0,128,40800.0,6373,11.2,39.5,11.9,37.3,49.4,13.3,34.7,14.0,53.5,32.5,12.7,13.6,3.8,2.2,7.7,5.3,57.7,430.0,36.4,342.1,1.0,16.4,61.3,14.6,1.0
Barnet - Hale,00ACGJ,E05000054,18250,4100,22.5,5.4,3250.0,11.2,20.6,7828,70.7,397250.0,222,38590.0,6327,11.3,49.2,15.4,24.1,66.9,13.6,17.9,3.5,77.5,19.0,9.2,9.4,3.3,1.6,10.2,5.0,40.9,460.0,30.0,325.6,0.9,17.8,46.8,48.8,1.2
Barnet - Hendon,00ACGK,E05000055,19300,4150,21.5,2.8,6625.0,7.4,19.1,8381,66.7,350000.0,209,38530.0,7255,10.9,22.4,8.2,58.4,49.0,12.1,36.6,15.1,62.1,22.8,9.1,10.7,3.3,1.9,7.5,3.6,40.8,427.0,40.0,352.7,1.0,13.5,72.6,16.4,1.0
Barnet - High Barnet,00ACGL,E05000056,16300,2950,18.1,8.3,1873.5,4.5,16.1,7421,74.5,419422.5,296,43940.0,6794,19.7,25.6,15.5,38.9,69.9,7.7,19.9,6.5,63.7,29.8,7.9,7.1,2.7,1.4,7.3,2.8,38.4,538.0,11.1,353.4,0.6,13.1,56.3,47.9,1.2
Barnet - Mill Hill,00ACGM,E05000057,20000,4350,21.9,9.4,2010.6,11.3,18.2,8329,70.5,520000.0,343,41920.0,7122,19.6,35.6,11.4,33.5,64.4,12.8,20.4,4.3,62.3,33.4,8.3,8.3,2.8,1.3,9.4,5.1,46.4,483.0,30.0,352.8,1.2,14.0,62.8,59.0,1.3
Barnet - Oakleigh,00ACGN,E05000058,16650,3200,19.3,3.3,4833.3,7.8,16.9,7486,73.4,366000.0,239,41670.0,6285,16.3,35.5,8.3,39.9,70.6,7.3,20.3,4.9,55.9,39.1,8.1,7.5,2.7,1.3,10.4,4.2,48.6,515.0,30.0,346.9,0.8,14.7,49.7,15.3,1.3
Barnet - Totteridge,00ACGP,E05000059,16900,3400,20.2,8.8,1795.5,9.0,17.9,6849,71.6,627750.0,182,46150.0,6029,20.6,35.9,10.7,32.8,66.8,8.7,22.5,5.7,38.2,56.1,6.3,5.3,2.3,1.0,5.9,3.4,47.0,574.0,20.0,368.9,0.7,13.0,39.7,57.7,1.3
Barnet - Underhill,00ACGQ,E05000060,17300,3400,19.6,4.6,3554.3,7.9,19.5,6874,68.3,389950.0,219,37040.0,6462,10.4,36.5,21.0,30.0,60.3,25.7,11.3,15.1,69.5,15.4,11.7,11.5,4.5,2.2,16.4,5.8,46.5,410.0,50.0,320.3,1.1,21.6,57.9,43.8,1.1
Barnet - West Finchley,00ACGR,E05000061,17500,3250,18.6,2.2,7590.9,8.5,14.5,8583,74.2,385000.0,193,42050.0,6862,3.7,24.1,17.1,55.0,53.8,7.2,36.9,7.7,67.1,25.2,7.9,7.9,2.6,1.5,7.2,3.1,40.1,503.0,10.0,368.9,0.7,12.2,55.2,13.4,0.9
Barnet - West Hendon,00ACGS,E05000062,19250,3950,20.6,3.4,5279.4,9.8,16.5,8051,67.2,346250.0,158,35090.0,6465,14.8,21.4,17.5,46.4,48.3,16.8,32.6,20.7,59.2,20.1,11.4,11.2,4.3,2.1,12.8,4.7,45.7,372.0,70.0,340.3,0.9,17.8,99.9,32.0,0.9
Barnet - Woodhouse,00ACGT,E05000063,18700,3500,18.6,2.6,6846.2,9.1,20.8,8568,72.0,370000.0,243,38220.0,7029,4.0,25.5,22.7,47.8,57.6,11.5,28.6,6.2,73.3,20.5,10.6,10.0,3.8,1.9,11.3,4.9,42.9,438.0,30.0,356.7,0.8,15.7,69.3,19.3,1.0
Bexley - Barnehurst,00ADGA,E05000064,10600,2000,18.7,2.9,3672.4,9.1,24.8,4958,75.8,250000.0,228,38200.0,4304,6.5,54.8,22.2,16.5,80.0,10.7,8.3,6.7,88.8,4.5,9.2,5.8,2.9,1.4,11.0,3.3,38.0,511.0,28.6,326.3,0.8,23.1,46.5,36.0,1.3
Bexley - Belvedere,00ADGB,E05000065,12400,2900,23.2,3.2,3828.1,11.8,28.4,5439,70.4,179500.0,246,33510.0,4988,5.7,25.8,31.8,36.7,63.6,16.1,18.6,23.9,74.7,1.4,15.6,12.0,5.2,2.4,21.6,6.1,42.6,296.0,85.7,306.1,1.0,23.7,62.0,33.1,1.0
Bexley - Blackfen and Lamorbey,00ADGC,E05000066,10700,1950,18.3,1.7,6352.9,8.5,20.0,5157,77.3,280000.0,182,40780.0,4233,7.0,50.4,34.7,7.9,86.7,3.8,8.1,3.0,91.1,5.9,7.0,2.9,2.7,1.1,7.2,2.0,26.7,588.0,0.0,332.8,0.8,22.4,28.8,9.5,1.3
Bexley - Blendon and Penhill,00ADGD,E05000067,11000,2000,18.0,2.1,5285.7,9.7,15.8,5336,78.2,275000.0,208,40340.0,4335,8.9,46.8,34.2,10.1,88.5,2.6,8.1,3.0,83.5,13.5,6.7,3.0,2.4,0.8,5.7,2.2,28.4,596.0,0.0,340.1,0.7,21.5,37.7,13.8,1.4
Bexley - Brampton,00ADGE,E05000068,10600,1750,16.6,2.0,5350.0,6.1,23.7,4995,76.6,315000.0,146,40790.0,4232,6.6,73.0,10.8,9.7,88.9,4.4,5.7,5.0,88.1,6.9,7.6,2.9,2.4,0.9,5.6,1.9,34.1,595.0,14.3,325.4,0.5,22.9,26.3,9.1,1.3
Bexley - Christchurch,00ADGF,E05000069,11350,2050,18.1,2.5,4500.0,11.8,14.2,5368,77.0,275000.0,197,40190.0,4568,12.9,46.9,18.2,22.0,80.7,3.9,14.2,5.8,83.4,10.8,9.0,5.0,2.7,1.7,12.7,2.8,33.5,527.0,14.3,342.9,0.8,21.0,97.5,17.3,1.2
Bexley - Colyers,00ADGG,E05000070,11400,2550,22.3,1.6,7093.8,11.1,26.6,4951,70.2,247000.0,131,34450.0,4515,4.3,50.7,17.7,27.2,61.5,29.4,7.0,18.4,79.9,1.7,13.7,9.7,5.3,2.3,17.2,7.2,51.9,294.0,57.1,298.3,1.0,25.1,39.5,13.0,1.1
Bexley - Crayford,00ADGH,E05000071,11950,2500,20.9,4.0,2925.0,10.1,19.6,5236,73.2,231500.0,264,34900.0,4840,5.6,40.9,29.2,24.3,65.6,21.8,10.5,24.8,75.0,0.2,14.7,10.5,4.8,2.0,16.4,4.8,42.1,348.0,71.4,301.4,1.2,25.3,62.2,41.7,1.1
Bexley - Cray Meadows,00ADGJ,E05000072,11350,2350,20.8,7.2,1583.3,14.0,25.4,4952,71.4,285000.0,175,35530.0,4810,6.5,44.4,17.6,31.3,65.7,22.8,9.3,14.5,77.6,7.9,14.7,11.2,5.6,1.8,19.5,5.5,49.3,345.0,57.1,324.9,1.0,25.1,54.3,61.7,1.2
Bexley - Danson Park,00ADGK,E05000073,11000,2000,18.3,2.7,4092.6,11.5,22.9,5217,75.0,265750.0,158,38580.0,4565,9.1,46.4,22.8,21.7,77.9,8.9,11.2,8.3,82.8,8.9,9.1,6.1,3.3,1.2,11.8,3.4,34.5,523.0,14.3,337.0,1.0,23.0,54.0,36.4,1.2
Bexley - East Wickham,00ADGL,E05000074,11000,2000,18.4,2.2,5022.7,10.9,23.0,5028,73.5,259497.5,150,36260.0,4309,3.1,59.3,21.6,16.0,76.5,12.6,9.5,8.9,88.6,2.5,10.5,7.0,3.9,1.5,14.8,3.4,34.6,448.0,42.9,331.9,0.9,26.4,40.5,26.8,1.2
Bexley - Erith,00ADGM,E05000075,12800,3200,25.1,4.8,2614.6,13.4,29.9,5266,67.6,181000.0,171,33160.0,5093,6.8,19.9,29.2,44.0,55.1,20.2,20.5,27.8,69.8,2.5,15.8,14.6,6.1,2.9,20.1,8.3,53.7,283.0,85.7,312.2,1.2,23.6,82.3,44.6,1.0
Bexley - Falconwood and Welling,00ADGN,E05000076,10950,2000,18.2,1.7,6470.6,10.4,24.9,5362,76.2,280000.0,180,39000.0,4251,3.0,58.0,29.5,9.5,88.0,1.1,9.5,3.8,93.4,2.8,6.6,2.8,2.3,1.1,6.0,2.3,27.2,577.0,14.3,335.6,0.8,22.1,47.7,0.7,1.3
Bexley - Lesnes Abbey,00ADGP,E05000077,11450,2300,20.3,2.4,4791.7,13.3,22.4,5023,69.7,257500.0,156,35630.0,4566,7.1,40.6,25.9,26.4,67.1,21.0,10.3,29.8,67.5,2.6,12.2,9.6,4.2,2.2,16.4,5.1,40.8,380.0,57.1,303.0,0.8,23.8,59.8,37.0,1.1
Bexley - Longlands,00ADGQ,E05000078,10600,1750,16.4,2.6,4096.2,8.2,17.4,4882,75.4,250000.0,240,40880.0,4617,9.4,39.4,11.8,39.5,75.0,13.2,10.7,9.3,75.9,14.8,7.9,5.8,2.7,1.2,10.8,2.3,37.2,549.0,16.7,348.7,0.7,20.9,34.2,28.9,1.2
Bexley - North End,00ADGR,E05000079,11850,3150,26.7,5.7,2070.2,15.2,22.8,4584,63.3,204497.5,244,29930.0,4723,2.9,27.5,36.4,33.1,46.9,37.4,14.3,29.9,70.1,0.0,21.4,19.3,6.2,3.9,28.5,11.1,53.7,164.0,85.7,285.7,1.4,28.8,81.2,65.3,0.9
Bexley - Northumberland Heath,00ADGS,E05000080,10700,2100,19.5,1.8,5972.2,11.0,22.5,5016,73.6,250000.0,137,37130.0,4126,4.5,56.1,29.0,10.4,80.3,9.3,8.9,10.1,88.1,1.9,11.2,6.6,3.8,1.8,14.7,4.2,40.1,486.0,28.6,324.8,0.9,23.3,42.1,13.6,1.3
Bexley - St. Mary's,00ADGT,E05000081,10550,1850,17.7,4.4,2420.5,8.7,14.4,4934,77.3,315000.0,183,44010.0,4390,23.2,38.2,26.2,12.3,85.7,4.1,9.1,3.9,71.3,24.8,6.4,3.0,9.7,0.8,4.6,1.7,29.9,607.0,14.3,358.7,0.5,18.9,33.2,46.8,1.4
Bexley - St. Michael's,00ADGU,E05000082,11250,2300,20.4,1.4,8071.4,9.1,22.0,5423,75.9,280000.0,161,38510.0,4073,1.8,82.3,8.2,7.7,85.8,7.0,6.1,5.9,92.6,1.5,8.7,4.1,2.9,1.2,8.5,3.2,32.0,545.0,28.6,327.2,0.7,21.8,30.0,5.9,1.4
Bexley - Sidcup,00ADGW,E05000083,11000,1750,15.9,2.7,4092.6,10.4,18.4,5150,74.0,280000.0,212,41220.0,4651,14.0,31.8,19.0,35.3,74.7,6.7,16.6,8.3,67.3,24.4,6.4,4.9,2.1,1.3,7.1,2.2,31.4,593.0,0.0,347.7,0.7,19.1,50.5,25.8,1.2
Bexley - Thamesmead East,00ADGX,E05000084,12550,3500,27.8,4.8,2583.3,17.1,28.0,4997,62.6,190000.0,91,32100.0,4925,3.1,13.1,40.4,43.3,41.0,38.4,19.0,56.3,43.7,0.0,15.7,17.9,5.6,3.7,19.5,9.4,46.5,257.0,100.0,304.6,1.0,20.8,54.9,70.5,0.8
Brent - Alperton,00AEGJ,E05000085,15300,3050,19.8,2.1,7047.6,8.3,18.8,6753,67.4,249950.0,103,31250.0,4444,6.1,23.8,32.0,37.8,55.6,12.1,29.6,13.3,86.3,0.4,10.1,10.1,3.3,2.0,11.4,5.0,47.5,321.0,100.0,318.6,1.2,22.1,69.1,17.7,0.9
Brent - Barnhill,00AEGK,E05000086,16250,3400,20.9,3.0,5366.7,10.8,25.1,6768,64.2,333000.0,159,34630.0,5546,17.0,27.8,9.6,45.5,43.6,26.6,26.2,18.1,61.8,20.1,16.9,14.5,4.8,2.7,16.9,6.5,44.5,186.0,77.8,321.6,1.0,18.1,64.7,31.6,1.0
Brent - Brondesbury Park,00AEGL,E05000087,13300,2350,17.8,1.7,7794.1,8.3,22.9,6646,71.8,465000.0,196,40020.0,5528,8.4,16.6,6.8,68.2,44.3,21.5,32.0,6.4,73.2,20.4,12.6,13.4,3.9,2.3,12.2,3.8,42.2,286.0,75.0,354.6,1.1,15.9,70.8,9.7,0.7
Brent - Dollis Hill,00AEGM,E05000088,13650,3300,24.1,2.3,5934.8,13.2,21.9,5254,61.5,306000.0,135,30990.0,4357,7.3,30.1,27.5,35.2,51.7,22.1,23.5,6.2,88.4,5.5,17.6,16.1,5.3,3.8,17.8,9.2,52.5,211.0,100.0,298.1,1.2,24.4,67.3,26.6,0.9
Brent - Dudden Hill,00AEGN,E05000089,15750,3350,21.2,1.7,9117.6,15.6,26.7,6936,65.9,495000.0,135,33470.0,5324,4.8,29.5,21.6,44.0,43.7,19.9,34.2,13.7,78.9,7.4,17.7,16.5,4.7,4.1,17.0,8.0,51.1,189.0,100.0,311.5,1.0,19.8,88.2,11.6,0.8
Brent - Fryent,00AEGP,E05000090,14150,2900,20.5,2.7,5129.6,10.5,21.2,6015,66.5,263750.0,106,35590.0,4503,5.3,44.4,12.9,37.4,57.1,13.9,26.8,4.6,88.4,7.0,9.9,9.9,3.1,1.6,9.0,4.9,45.7,311.0,87.5,327.0,0.8,20.3,58.4,39.3,1.1
Brent - Harlesden,00AEGQ,E05000091,17500,4750,27.3,1.1,15772.7,15.8,29.3,6738,59.3,305500.0,184,27030.0,6785,4.0,8.6,15.8,71.4,21.8,44.0,30.7,30.4,68.8,0.9,28.8,30.0,8.3,8.5,25.5,11.0,46.7,27.0,100.0,304.9,1.4,24.1,100.3,8.9,0.5
Brent - Kensal Green,00AEGR,E05000092,15050,3200,21.1,1.1,13681.8,11.6,27.1,7330,68.8,500000.0,149,34640.0,6184,2.8,10.1,23.4,63.6,36.1,26.7,34.7,24.4,73.8,1.8,20.6,19.9,5.8,5.8,19.0,6.7,47.4,126.0,100.0,307.6,1.1,19.7,86.6,6.9,0.6
Brent - Kenton,00AEGS,E05000093,12550,2050,16.2,2.3,5413.0,5.8,21.6,5637,70.3,440000.0,107,42190.0,3953,18.1,57.0,4.3,20.5,73.4,5.6,19.3,1.7,63.6,34.7,7.8,4.7,2.1,1.6,6.0,2.8,37.0,440.0,37.5,357.2,0.8,17.3,51.3,17.0,1.4
Brent - Kilburn,00AEGT,E05000094,17550,3400,19.5,0.9,19333.3,11.9,25.8,8518,68.9,444631.5,216,34270.0,7840,1.1,2.5,10.2,86.1,24.0,45.0,28.8,30.8,65.5,3.6,20.1,19.5,5.9,4.7,22.5,5.8,47.1,39.0,100.0,319.2,1.0,17.1,79.3,11.1,0.4
Brent - Mapesbury,00AEGU,E05000095,16000,2750,17.2,1.4,11357.1,13.7,21.6,8290,70.6,450000.0,189,36830.0,6496,5.9,11.3,7.9,75.0,34.4,19.2,44.8,18.4,67.9,13.6,16.1,15.8,5.1,3.9,15.3,4.6,44.9,213.0,100.0,314.1,1.2,14.5,71.8,9.6,0.6
Brent - Northwick Park,00AEGW,E05000096,13300,2150,16.0,2.7,4888.9,11.5,20.9,6055,67.4,470000.0,85,41100.0,4316,15.0,46.3,6.3,32.4,62.0,16.2,19.2,3.0,71.4,25.6,8.8,6.0,2.3,1.7,9.2,2.9,36.7,396.0,50.0,345.7,0.7,13.4,64.7,32.0,1.3
Brent - Preston,00AEGX,E05000097,15750,3300,20.8,2.4,6541.7,13.0,23.8,6964,67.0,350000.0,131,35960.0,5118,6.9,45.2,9.6,38.3,54.6,12.6,29.2,4.4,82.4,13.2,12.2,9.9,3.6,2.4,13.2,5.4,41.2,330.0,88.9,339.1,1.1,17.5,57.9,19.2,1.0
Brent - Queens Park,00AEGY,E05000098,15500,3200,20.5,1.5,10300.0,9.9,17.4,8501,75.8,677500.0,198,42880.0,6446,1.8,8.1,26.7,63.4,44.2,19.9,33.9,7.2,75.0,17.8,13.5,10.9,4.2,2.6,12.3,4.2,39.4,267.0,100.0,345.8,0.9,13.3,72.9,19.0,0.7
Brent - Queensbury,00AEGZ,E05000099,16800,3350,19.8,2.0,8050.0,10.7,21.5,6945,67.7,366000.0,109,35110.0,4810,5.6,45.4,23.0,26.1,59.4,15.3,21.6,3.1,92.8,4.1,10.5,8.5,3.3,1.9,10.3,5.4,51.9,343.0,87.5,332.0,0.8,21.4,65.0,13.7,1.2
Brent - Stonebridge,00AEHA,E05000100,17600,4700,26.7,4.1,4231.7,17.0,26.5,5789,54.2,249950.0,63,25800.0,6021,5.3,15.3,24.1,55.1,18.1,62.3,15.1,30.5,69.1,0.5,28.8,30.3,8.0,8.1,25.6,13.2,50.0,4.0,100.0,298.6,1.5,25.9,116.0,16.2,0.6
Brent - Sudbury,00AEHB,E05000101,15250,3250,21.1,2.1,7238.1,10.6,25.9,6931,67.4,249950.0,91,33530.0,4944,9.9,25.0,20.8,44.3,50.5,15.0,32.6,6.4,89.2,4.4,12.0,11.9,3.6,2.3,11.8,5.1,42.0,276.0,100.0,331.2,1.0,18.1,51.5,34.6,0.9
Brent - Tokyngton,00AEHC,E05000102,18900,3800,20.0,2.8,6160.7,13.1,27.2,7164,67.5,322500.0,94,33130.0,5051,4.5,37.5,16.1,41.9,50.0,12.0,33.7,21.2,76.0,2.8,12.6,9.1,2.8,2.1,11.6,4.8,44.1,324.0,100.0,310.8,1.1,19.4,82.8,19.8,0.9
Brent - Welsh Harp,00AEHD,E05000103,14000,3000,21.5,2.3,6065.2,11.2,26.6,5999,64.9,292475.0,118,31620.0,4923,7.0,30.5,23.3,39.2,49.9,19.2,28.1,7.8,88.4,3.8,15.6,15.0,4.9,3.2,16.4,6.6,41.6,212.0,100.0,315.7,1.2,22.6,62.9,34.0,0.9
Brent - Wembley Central,00AEHE,E05000104,16150,3100,19.1,1.6,9718.8,9.2,20.4,6963,65.6,250000.0,118,31040.0,4540,6.7,28.2,19.8,45.2,47.2,15.6,33.5,11.2,86.1,2.7,12.4,11.0,3.5,2.6,13.0,4.5,44.3,223.0,100.0,305.7,1.0,20.7,118.3,20.1,0.8
Brent - Willesden Green,00AEHF,E05000105,15950,3050,19.1,1.5,10600.0,15.0,26.7,7834,68.6,409500.0,147,31390.0,6213,3.3,7.1,16.1,73.3,25.4,26.8,43.2,13.5,85.6,1.0,22.0,21.2,5.7,4.4,19.3,6.9,45.5,94.0,100.0,296.7,1.2,18.5,94.9,36.8,0.5
Bromley - Bickley,00AFGD,E05000106,15450,3000,19.4,4.9,3132.7,7.3,12.5,7004,76.0,480000.0,315,47190.0,6173,37.0,21.5,17.8,23.7,80.2,7.0,11.4,3.1,49.4,47.5,5.9,4.0,2.3,1.0,5.2,2.1,35.6,594.0,0.0,359.3,0.6,14.5,36.5,21.5,1.4
Bromley - Biggin Hill,00AFGE,E05000107,10250,1850,18.0,8.3,1222.9,8.0,14.1,5104,79.2,269950.0,197,40930.0,4032,36.8,27.3,22.8,13.0,88.0,4.6,5.7,1.2,82.1,16.7,6.9,3.3,2.3,0.7,8.4,2.2,26.5,591.0,0.0,311.6,1.0,18.3,44.8,72.7,1.7
Bromley - Bromley Common and Keston,00AFGF,E05000108,16250,3350,20.7,8.3,1897.6,10.5,17.8,6930,73.2,350000.0,375,40510.0,6509,20.4,33.3,26.1,20.3,73.1,15.7,9.5,4.1,72.2,23.7,10.2,7.6,3.7,1.3,11.2,4.5,40.4,463.0,44.4,341.7,0.8,20.5,53.0,58.6,1.3
Bromley - Bromley Town,00AFGG,E05000109,18600,3900,20.8,3.7,4797.3,5.8,13.3,8832,78.6,327000.0,359,43460.0,7834,8.8,25.2,21.0,45.1,65.3,10.0,22.7,8.7,73.2,18.1,7.8,6.7,2.5,1.2,8.2,2.8,36.8,521.0,10.0,339.7,0.6,13.1,139.0,17.6,1.0
Bromley - Chelsfield and Pratts Bottom,00AFGH,E05000110,14800,2800,19.1,12.6,1166.7,4.2,11.3,6957,77.3,400000.0,248,44850.0,5947,33.1,40.5,18.4,8.0,87.0,4.6,7.1,3.0,68.0,29.0,6.0,2.8,2.0,0.8,5.6,1.6,25.0,627.0,0.0,363.7,0.8,16.4,40.3,68.4,1.5
Bromley - Chislehurst,00AFGJ,E05000111,15400,2900,18.7,10.4,1461.5,6.0,15.5,6732,75.1,395000.0,324,46250.0,6412,35.5,20.8,20.8,23.0,79.9,7.1,11.4,2.1,53.3,44.6,5.9,3.8,2.1,0.8,5.8,2.4,38.6,560.0,10.0,343.4,0.7,15.8,55.2,59.1,1.4
