Ward name,Old code,New code,Population,Children_0-15 ,Children_0-15 %,Area - Square,Population_density, children_obese%, children_obese_year6,Employment_rate ,House_Price,Household_income,no_qualifications%,Crime_rate %,open_space% ,Cars_per_household 
Bexley - Blackfen and Lamorbey,00ADGC,E05000066,10700,1950,18.3,1.7,6352.9,8.5,20,77.3,280000,40780,22.4,28.8,9.5,1.3
Bexley - Blendon and Penhill,00ADGD,E05000067,11000,2000,18,2.1,5285.7,9.7,15.8,78.2,275000,40340,21.5,37.7,13.8,1.4
Bexley - Brampton,00ADGE,E05000068,10600,1750,16.6,2,5350,6.1,23.7,76.6,315000,40790,22.9,26.3,9.1,1.3
Bexley - Christchurch,00ADGF,E05000069,11350,2050,18.1,2.5,4500,11.8,14.2,77,275000,40190,21,97.5,17.3,1.2
Bexley - Colyers,00ADGG,E05000070,11400,2550,22.3,1.6,7093.8,11.1,26.6,70.2,247000,34450,25.1,39.5,13,1.1
Bexley - Crayford,00ADGH,E05000071,11950,2500,20.9,4,2925,10.1,19.6,73.2,231500,34900,25.3,62.2,41.7,1.1
Bexley - Cray Meadows,00ADGJ,E05000072,11350,2350,20.8,7.2,1583.3,14,25.4,71.4,285000,35530,25.1,54.3,61.7,1.2
Bexley - Danson Park,00ADGK,E05000073,11000,2000,18.3,2.7,4092.6,11.5,22.9,75,265750,38580,23,54,36.4,1.2
Bexley - East Wickham,00ADGL,E05000074,11000,2000,18.4,2.2,5022.7,10.9,23,73.5,259497.5,36260,26.4,40.5,26.8,1.2
Bexley - Erith,00ADGM,E05000075,12800,3200,25.1,4.8,2614.6,13.4,29.9,67.6,181000,33160,23.6,82.3,44.6,1
Bexley - Falconwood and Welling,00ADGN,E05000076,10950,2000,18.2,1.7,6470.6,10.4,24.9,76.2,280000,39000,22.1,47.7,0.7,1.3
Bexley - Lesnes Abbey,00ADGP,E05000077,11450,2300,20.3,2.4,4791.7,13.3,22.4,69.7,257500,35630,23.8,59.8,37,1.1
Bexley - Longlands,00ADGQ,E05000078,10600,1750,16.4,2.6,4096.2,8.2,17.4,75.4,250000,40880,20.9,34.2,28.9,1.2
Bexley - North End,00ADGR,E05000079,11850,3150,26.7,5.7,2070.2,15.2,22.8,63.3,204497.5,29930,28.8,81.2,65.3,0.9
Bexley - Northumberland Heath,00ADGS,E05000080,10700,2100,19.5,1.8,5972.2,11,22.5,73.6,250000,37130,23.3,42.1,13.6,1.3
Bexley - St. Mary's,00ADGT,E05000081,10550,1850,17.7,4.4,2420.5,8.7,14.4,77.3,315000,44010,18.9,33.2,46.8,1.4
Bexley - St. Michael's,00ADGU,E05000082,11250,2300,20.4,1.4,8071.4,9.1,22,75.9,280000,38510,21.8,30,5.9,1.4
Bexley - Sidcup,00ADGW,E05000083,11000,1750,15.9,2.7,4092.6,10.4,18.4,74,280000,41220,19.1,50.5,25.8,1.2
Bexley - Thamesmead East,00ADGX,E05000084,12550,3500,27.8,4.8,2583.3,17.1,28,62.6,190000,32100,20.8,54.9,70.5,0.8
Brent - Alperton,00AEGJ,E05000085,15300,3050,19.8,2.1,7047.6,8.3,18.8,67.4,249950,31250,22.1,69.1,17.7,0.9
Brent - Barnhill,00AEGK,E05000086,16250,3400,20.9,3,5366.7,10.8,25.1,64.2,333000,34630,18.1,64.7,31.6,1
Brent - Brondesbury Park,00AEGL,E05000087,13300,2350,17.8,1.7,7794.1,8.3,22.9,71.8,465000,40020,15.9,70.8,9.7,0.7
Brent - Dollis Hill,00AEGM,E05000088,13650,3300,24.1,2.3,5934.8,13.2,21.9,61.5,306000,30990,24.4,67.3,26.6,0.9
Brent - Dudden Hill,00AEGN,E05000089,15750,3350,21.2,1.7,9117.6,15.6,26.7,65.9,495000,33470,19.8,88.2,11.6,0.8
Brent - Fryent,00AEGP,E05000090,14150,2900,20.5,2.7,5129.6,10.5,21.2,66.5,263750,35590,20.3,58.4,39.3,1.1
Brent - Harlesden,00AEGQ,E05000091,17500,4750,27.3,1.1,15772.7,15.8,29.3,59.3,305500,27030,24.1,100.3,8.9,0.5
Brent - Kensal Green,00AEGR,E05000092,15050,3200,21.1,1.1,13681.8,11.6,27.1,68.8,500000,34640,19.7,86.6,6.9,0.6
Brent - Kenton,00AEGS,E05000093,12550,2050,16.2,2.3,5413,5.8,21.6,70.3,440000,42190,17.3,51.3,17,1.4
Brent - Kilburn,00AEGT,E05000094,17550,3400,19.5,0.9,19333.3,11.9,25.8,68.9,444631.5,34270,17.1,79.3,11.1,0.4
Brent - Mapesbury,00AEGU,E05000095,16000,2750,17.2,1.4,11357.1,13.7,21.6,70.6,450000,36830,14.5,71.8,9.6,0.6
Brent - Northwick Park,00AEGW,E05000096,13300,2150,16,2.7,4888.9,11.5,20.9,67.4,470000,41100,13.4,64.7,32,1.3
Brent - Preston,00AEGX,E05000097,15750,3300,20.8,2.4,6541.7,13,23.8,67,350000,35960,17.5,57.9,19.2,1
Brent - Queens Park,00AEGY,E05000098,15500,3200,20.5,1.5,10300,9.9,17.4,75.8,677500,42880,13.3,72.9,19,0.7
Brent - Queensbury,00AEGZ,E05000099,16800,3350,19.8,2,8050,10.7,21.5,67.7,366000,35110,21.4,65,13.7,1.2
Brent - Stonebridge,00AEHA,E05000100,17600,4700,26.7,4.1,4231.7,17,26.5,54.2,249950,25800,25.9,116,16.2,0.6
Brent - Sudbury,00AEHB,E05000101,15250,3250,21.1,2.1,7238.1,10.6,25.9,67.4,249950,33530,18.1,51.5,34.6,0.9
Brent - Tokyngton,00AEHC,E05000102,18900,3800,20,2.8,6160.7,13.1,27.2,67.5,322500,33130,19.4,82.8,19.8,0.9
Brent - Welsh Harp,00AEHD,E05000103,14000,3000,21.5,2.3,6065.2,11.2,26.6,64.9,292475,31620,22.6,62.9,34,0.9
Brent - Wembley Central,00AEHE,E05000104,16150,3100,19.1,1.6,9718.8,9.2,20.4,65.6,250000,31040,20.7,118.3,20.1,0.8
Brent - Willesden Green,00AEHF,E05000105,15950,3050,19.1,1.5,10600,15,26.7,68.6,409500,31390,18.5,94.9,36.8,0.5
